,mtex,cnn,resnet,inception,lstm,rnn,gru,ccnn,cresnet,cinception,dcnn,dresnet,dinception
AtrialFibrillation,0.5,0.5,0.4444444444444444,0.49999999999999994,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.8333333333333334,0.5,0.5,0.5555555555555555
Libras,0.8287037037037037,0.9768518518518517,0.9907407407407408,0.8611111111111112,0.4768518518518518,0.7638888888888888,0.601851851851852,0.8379629629629629,0.8472222222222223,0.6990740740740741,0.9120370370370371,0.9675925925925927,0.7222222222222223
BasicMotions,0.9375,1.0,1.0,1.0,0.8125,0.7708333333333334,0.8125,1.0,1.0,1.0,1.0,1.0,1.0
RacketSports,0.7486338797814208,0.9562841530054644,0.983606557377049,0.9234972677595629,0.7377049180327869,0.7322404371584699,0.7213114754098361,0.9508196721311476,1.0,0.8797814207650273,0.9398907103825137,1.0,0.9344262295081968
Epilepsy,0.993939393939394,1.0,1.0,0.9757575757575757,0.7696969696969697,0.6,0.8303030303030302,1.0,1.0,1.0,1.0,1.0,1.0
StandWalkJum,0.6111111111111112,0.5,0.38888888888888884,0.611111111111111,0.5,0.4444444444444444,0.5555555555555555,0.888888888888889,1.0,0.9444444444444445,1.0,1.0,0.888888888888889
UWaveGestureLibrary,0.9583333333333334,0.9469696969696971,0.9583333333333334,0.9393939393939394,0.8863636363636364,0.9469696969696971,0.9053030303030303,0.7537878787878788,0.7765151515151515,0.6477272727272727,0.8863636363636364,0.9545454545454546,0.875
Handwriting,0.3516666666666666,0.875,0.94,0.6483333333333334,0.375,0.43,0.4183333333333333,0.425,0.7200000000000001,0.4283333333333333,0.7883333333333334,0.9316666666666666,0.5433333333333333
NATOPS,0.8703703703703703,0.9861111111111112,0.9861111111111112,0.9305555555555557,0.7962962962962963,0.898148148148148,0.8009259259259259,0.875,0.9212962962962963,0.8425925925925926,0.9675925925925926,0.9861111111111112,0.9212962962962963
FingerMovements,0.6111111111111112,0.6984126984126983,0.7023809523809524,0.6706349206349206,0.5753968253968255,0.5714285714285714,0.5674603174603174,0.5992063492063492,0.6111111111111112,0.5873015873015873,0.7182539682539683,0.7142857142857143,0.626984126984127
ArticularyWordRecognition,0.9884057971014494,0.9971014492753624,1.0,0.9623188405797102,0.9159420289855073,0.9768115942028985,0.9681159420289855,0.8927536231884057,0.9739130434782609,0.7971014492753623,0.9681159420289855,1.0,0.9101449275362318
HandMovementDirection,0.3900709219858156,0.47517730496453897,0.43971631205673756,0.48936170212765956,0.3475177304964539,0.4042553191489362,0.4468085106382979,0.3546099290780142,0.3829787234042554,0.2978723404255319,0.4468085106382979,0.41843971631205673,0.3475177304964539
Cricket,0.9907407407407408,1.0,1.0,1.0,0.8333333333333334,0.9166666666666666,0.9259259259259259,0.9722222222222222,1.0,0.9351851851851851,1.0,1.0,1.0
LSST,0.4802030456852792,0.588155668358714,0.6179357021996615,0.4057529610829103,0.516751269035533,0.5329949238578681,0.5187817258883248,0.5269035532994923,0.5252115059221658,0.5015228426395938,0.5593908629441624,0.6940778341793571,0.5942470389170896
EthanolConcentration,0.46666666666666673,0.3587301587301588,0.3746031746031746,0.38095238095238093,0.30793650793650795,0.31746031746031744,0.34920634920634924,0.40317460317460324,0.7492063492063492,0.40952380952380957,0.3523809523809523,0.38095238095238093,0.38095238095238093
SelfRegulationSCP1,0.887905604719764,0.831858407079646,0.8200589970501474,0.8908554572271385,0.8613569321533924,0.8820058997050148,0.8643067846607669,0.8377581120943952,0.831858407079646,0.8849557522123894,0.831858407079646,0.8525073746312684,0.8967551622418878
SelfRegulationSCP2,0.5614035087719298,0.5833333333333334,0.5657894736842105,0.6096491228070174,0.5701754385964912,0.5570175438596491,0.5921052631578948,0.5833333333333334,0.5614035087719298,0.5964912280701754,0.5614035087719298,0.5745614035087719,0.587719298245614
Heartbeat,0.7560975609756099,0.7926829268292682,0.804878048780488,0.7642276422764228,0.7235772357723578,0.7357723577235772,0.7235772357723578,0.7195121951219511,0.7642276422764228,0.7195121951219511,0.7520325203252032,0.8211382113821138,0.7886178861788619
PhonemeSpectra,0.1541729135432284,0.3078460769615193,0.35857071464267865,0.27736131934032987,0.1184407796101949,0.10619690154922538,0.11669165417291354,0.2971014492753623,0.3328335832083958,0.2801099450274862,0.3138430784607696,0.39030484757621187,0.3040979510244877
EigenWorms,0.6538461538461539,0.5256410256410257,0.6602564102564102,0.6089743589743589,0.673076923076923,0.576923076923077,0.608974358974359,0.5192307692307692,0.7051282051282052,0.5897435897435898,0.5641025641025641,0.5961538461538461,0.5384615384615384
MotorImagery,0.5745614035087719,0.6184210526315789,0.587719298245614,0.5789473684210527,0.5701754385964913,0.5219298245614036,0.543859649122807,0.5570175438596491,0.6228070175438597,0.6513157894736842,0.5921052631578947,0.6776315789473684,0.6710526315789473
PEMS-SF,0.9015151515151515,0.9204545454545454,0.9242424242424242,0.9356060606060606,0.7575757575757575,0.7803030303030303,0.7083333333333334,0.837121212121212,1.0,0.7954545454545454,,,
FaceDetection,0.7087980173482032,0.5717826163922818,0.5912550893963533,0.7332271198442202,0.6009913258983891,0.6431226765799257,0.5887767746503806,0.5558505930253143,0.561603823685608,0.6101964949548593,0.5703664365374403,0.5929368029739777,0.6290493892724376
