,mtex,resnet,cresnet,dcnn,dresnet,dinception
synth_ShapesAll_type1_nbdim_10,1.0,1.0,1.0,1.0,1.0,1.0
synth_ShapesAll_type1_nbdim_20,1.0,0.8683333333333334,1.0,1.0,1.0,1.0
synth_ShapesAll_type1_nbdim_40,0.9966666666666667,0.6799999999999999,1.0,1.0,1.0,1.0
synth_ShapesAll_type1_nbdim_60,0.9133333333333333,0.6516666666666666,1.0,1.0,1.0,1.0
synth_ShapesAll_type1_nbdim_100,0.5700000000000001,0.5883333333333333,1.0,1.0,1.0,0.9816666666666667
synth_ShapesAll_type2_nbdim_10,0.5966666666666667,0.7666666666666667,0.5966666666666668,1.0,1.0,0.9666666666666668
synth_ShapesAll_type2_nbdim_20,0.5383333333333333,0.6033333333333333,0.5816666666666667,1.0,1.0,0.875
synth_ShapesAll_type2_nbdim_40,0.5633333333333332,0.6050000000000001,0.5616666666666668,0.8516666666666668,0.7166666666666666,0.7116666666666667
synth_ShapesAll_type2_nbdim_60,0.5733333333333334,0.6116666666666667,0.5733333333333333,0.7150000000000001,0.5933333333333334,0.665
synth_ShapesAll_type2_nbdim_100,0.5533333333333333,0.605,0.5650000000000001,0.555,0.5958333333333333,0.5833333333333334
synth_starlight_type1_nbdim_10,1.0,0.9966666666666667,1.0,1.0,1.0,1.0
synth_starlight_type1_nbdim_20,0.9233333333333335,0.7966666666666666,1.0,1.0,1.0,0.9916666666666668
synth_starlight_type1_nbdim_40,0.7150000000000001,0.6233333333333333,1.0,0.9933333333333334,1.0,0.9566666666666667
synth_starlight_type1_nbdim_60,0.6083333333333334,0.615,1.0,0.9799999999999999,0.99,0.9316666666666666
synth_starlight_type1_nbdim_100,0.5683333333333335,0.5933333333333334,1.0,0.95,0.9666666666666667,0.825
synth_starlight_type2_nbdim_10,0.6016666666666668,0.6866666666666668,0.5766666666666668,1.0,1.0,0.9549999999999998
synth_starlight_type2_nbdim_20,0.5483333333333332,0.5599999999999999,0.575,0.9933333333333334,0.9966666666666667,0.7
synth_starlight_type2_nbdim_40,0.5650000000000002,0.5566666666666666,0.5666666666666667,0.8399999999999999,0.5716666666666667,0.55
synth_starlight_type2_nbdim_60,0.5533333333333333,0.5833333333333334,0.5733333333333333,0.6633333333333333,0.545,0.5466666666666666
synth_starlight_type2_nbdim_100,0.5366666666666666,0.5966666666666667,0.6050000000000001,0.5866666666666667,0.585,0.6016666666666667
