,mtex,resnet,cresnet,dcnn,dresnet,dinception
synth_ShapesAll_type1_nbdim_10,0.5423848372127755,0.0927335111266318,0.7799168904538258,0.5565261652529934,0.7548681673768026,0.704127242980926
synth_ShapesAll_type1_nbdim_20,0.5495724382414159,0.03179974316438281,0.7920170756079992,0.5111799937604932,0.7702583009920443,0.3495026487088924
synth_ShapesAll_type1_nbdim_40,0.3496169491293801,0.00846540532232032,0.7994588032587668,0.4146991492113852,0.6311019878884804,0.5647702367563165
synth_ShapesAll_type1_nbdim_60,0.022644868474525914,0.005704876880647583,0.8432385649790123,0.4389622459715172,0.5550484377199539,0.5053674366526285
synth_ShapesAll_type1_nbdim_100,0.012102141353763035,0.0026457352702167437,0.9089527426444899,0.43501307639131764,0.4469917076398228,0.43818449567742723
synth_ShapesAll_type2_nbdim_10,0.030360975782893124,0.04503367368850848,0.1448532233134924,0.5336348779094628,0.6706848239526007,0.3217770034194374
synth_ShapesAll_type2_nbdim_20,0.024542238835095844,0.02192878306250698,0.1362914234826542,0.3262487522455494,0.6172812732476892,0.4585205638412186
synth_ShapesAll_type2_nbdim_40,0.005521007811551807,0.006322991949848462,0.0048639821512103795,0.3490419680650391,0.37002143062575404,0.4610743983345092
synth_ShapesAll_type2_nbdim_60,0.016445593193785545,0.003458301938030843,0.004708122350502136,0.2775584952615634,0.3848345769827917,0.282509835501941
synth_ShapesAll_type2_nbdim_100,0.017074234734964198,0.002074557273982266,0.0014220194590888816,0.23913663666315654,0.02461050001226841,0.0023047137585252052
synth_starlight_type1_nbdim_10,0.04436542826720936,0.07895050307370148,0.807953639049407,0.49566963550258913,0.6147262317025047,0.3996971283685587
synth_starlight_type1_nbdim_20,0.005868371010907787,0.023777048244868954,0.9281220794414446,0.3310452383421977,0.484864843358565,0.30021608135380207
synth_starlight_type1_nbdim_40,0.02666978905628325,0.007201110725201603,0.929862287918318,0.2971676486204379,0.3510588297607618,0.14270273184379717
synth_starlight_type1_nbdim_60,0.12249861487662869,0.004478503767890341,0.902564844930889,0.2756299228629646,0.28198245768013885,0.06373876891085926
synth_starlight_type1_nbdim_100,0.07696222431778299,0.002731969693681968,0.9505648558281855,0.1968569691540826,0.2410681273058371,0.02764132695442497
synth_starlight_type2_nbdim_10,0.08295807275014994,0.025770059640721238,0.02060300309476247,0.23032010737927242,0.5114950103231535,0.10831252137130894
synth_starlight_type2_nbdim_20,0.03524046027170863,0.01333266648828704,0.06684429953238152,0.2675105027570826,0.3218608230781376,0.029590645361660842
synth_starlight_type2_nbdim_40,0.06534627215120845,0.005524681344670016,0.006991113261261248,0.08843496644629793,0.08086330302515457,0.016723262181694107
synth_starlight_type2_nbdim_60,0.07161087537236993,0.0037611763860385754,0.003544397538187791,0.00335091518591852,0.003927124048124508,0.011369210788891516
synth_starlight_type2_nbdim_100,0.06717268712111277,0.0030374934890973477,0.0074681914068789905,0.0026293790298846796,0.006973040773942674,0.01826041756091755
