,dcnn,dresnet,dinception
synth_ShapesAll_type1_nbdim_10,100.0,100.0,100.0
synth_ShapesAll_type1_nbdim_20,100.0,100.0,99.84
synth_ShapesAll_type1_nbdim_40,100.0,100.0,99.24
synth_ShapesAll_type1_nbdim_60,100.0,100.0,99.72
synth_ShapesAll_type1_nbdim_100,95.7,100.0,95.22
synth_ShapesAll_type2_nbdim_10,100.0,100.0,93.32
synth_ShapesAll_type2_nbdim_20,100.0,100.0,75.28
synth_ShapesAll_type2_nbdim_40,70.22,57.44,77.88
synth_ShapesAll_type2_nbdim_60,69.58,57.94,51.06
synth_ShapesAll_type2_nbdim_100,100.0,30.38,0.12
synth_starlight_type1_nbdim_10,100.0,100.0,99.98
synth_starlight_type1_nbdim_20,100.0,100.0,98.08
synth_starlight_type1_nbdim_40,97.9,100.0,92.72
synth_starlight_type1_nbdim_60,94.94,97.34,88.94
synth_starlight_type1_nbdim_100,92.38,94.32,77.6
synth_starlight_type2_nbdim_10,100.0,100.0,92.44
synth_starlight_type2_nbdim_20,97.24,98.9,59.98
synth_starlight_type2_nbdim_40,78.5,100.0,99.6
synth_starlight_type2_nbdim_60,0.0,73.68,12.72
synth_starlight_type2_nbdim_100,54.06,73.76,58.2
